#"Step","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
1000,-191.811301429,354.808337985,0.0336641936488
2000,-178.934361077,254.346694781,0.0336641936488
3000,-184.82037032,277.292767883,0.0336641936488
4000,-178.902527788,298.182039844,0.0336641936488
5000,-186.010171944,370.995907142,0.0336641936488
6000,-172.672140816,305.905914131,0.0336641936488
7000,-184.111810277,262.300563145,0.0336641936488
8000,-173.169718159,323.558649871,0.0336641936488
9000,-185.055626929,374.567258077,0.0336641936488
10000,-180.617659257,304.003029226,0.0336641936488
11000,-182.013154691,293.842114263,0.0336641936488
12000,-170.099555077,381.216196275,0.0336641936488
13000,-165.597608792,303.226386819,0.0336641936488
14000,-186.381385108,174.04777264,0.0336641936488
15000,-162.133018666,232.447726106,0.0336641936488
16000,-158.434318415,313.563788608,0.0336641936488
17000,-157.726612938,335.448407491,0.0336641936488
18000,-167.851761478,262.998361617,0.0336641936488
19000,-155.367968147,342.910874683,0.0336641936488
20000,-161.240409392,341.076076782,0.0336641936488
21000,-185.282924462,254.905335813,0.0336641936488
22000,-195.698708172,322.873028633,0.0336641936488
23000,-165.536338534,280.341396299,0.0336641936488
24000,-182.777793464,264.528240556,0.0336641936488
25000,-202.475861013,329.175713154,0.0336641936488
26000,-197.09720873,290.895756959,0.0336641936488
27000,-171.676747746,273.792351237,0.0336641936488
28000,-142.095330242,362.563057077,0.0336641936488
29000,-150.835150752,374.436819924,0.0336641936488
30000,-187.903896473,324.582733525,0.0336641936488
31000,-173.973453213,282.068445649,0.0336641936488
32000,-193.616992652,298.331739705,0.0336641936488
33000,-173.439862293,324.141649689,0.0336641936488
34000,-160.845148968,338.790990764,0.0336641936488
35000,-160.469525968,355.858008522,0.0336641936488
36000,-177.72336703,360.349718833,0.0336641936488
37000,-166.908050147,224.851693313,0.0336641936488
38000,-176.898899986,318.013362119,0.0336641936488
39000,-173.92428988,268.546482068,0.0336641936488
40000,-168.218803758,243.139026397,0.0336641936488
41000,-170.582511625,317.211399424,0.0336641936488
42000,-176.031967263,322.107715852,0.0336641936488
43000,-188.796678299,326.33614541,0.0336641936488
44000,-200.451859492,230.679336415,0.0336641936488
45000,-164.34748367,275.067509135,0.0336641936488
46000,-148.788409187,311.654879656,0.0336641936488
47000,-168.490874362,308.221273001,0.0336641936488
48000,-144.185631643,332.95511659,0.0336641936488
49000,-163.606602786,268.869199714,0.0336641936488
50000,-175.741907684,355.798367666,0.0336641936488
51000,-155.298557187,336.805028125,0.0336641936488
52000,-184.125524138,335.592269253,0.0336641936488
53000,-167.090108881,289.829749101,0.0336641936488
54000,-160.526922001,267.796583796,0.0336641936488
55000,-172.007220364,303.519520882,0.0336641936488
56000,-164.544695848,309.600164404,0.0336641936488
57000,-141.427878854,319.332361559,0.0336641936488
58000,-126.598440165,312.795352012,0.0336641936488
59000,-157.57228341,148.41482777,0.0336641936488
60000,-201.342285672,385.384177521,0.0336641936488
61000,-171.434037324,251.846980457,0.0336641936488
62000,-162.953087019,412.521450207,0.0336641936488
63000,-143.555947745,310.86543804,0.0336641936488
64000,-171.72384145,398.393412051,0.0336641936488
65000,-160.402936748,317.552279542,0.0336641936488
66000,-158.941262588,358.898195052,0.0336641936488
67000,-175.85684546,339.309403139,0.0336641936488
68000,-173.947549575,321.813222144,0.0336641936488
69000,-179.714567375,283.702058923,0.0336641936488
70000,-197.762015467,370.743078099,0.0336641936488
71000,-182.748695621,279.869201488,0.0336641936488
72000,-173.240331616,340.274479507,0.0336641936488
73000,-199.487998502,326.456681009,0.0336641936488
74000,-185.388774033,313.021171906,0.0336641936488
75000,-196.432247444,265.25429742,0.0336641936488
76000,-192.844621656,238.395194974,0.0336641936488
77000,-151.697294463,337.967126575,0.0336641936488
78000,-164.331989519,245.447967242,0.0336641936488
79000,-167.026072897,220.366383236,0.0336641936488
80000,-161.763006238,300.518958541,0.0336641936488
81000,-159.055549263,330.102195635,0.0336641936488
82000,-192.094458668,321.612069791,0.0336641936488
83000,-194.411347966,292.030792772,0.0336641936488
84000,-186.002488312,338.894383429,0.0336641936488
85000,-171.283762103,273.931433094,0.0336641936488
86000,-163.364156904,275.697375474,0.0336641936488
87000,-186.185612463,371.844677015,0.0336641936488
88000,-201.558802991,329.619019926,0.0336641936488
89000,-157.993919565,293.227821119,0.0336641936488
90000,-174.404769204,269.983574796,0.0336641936488
91000,-176.694849264,388.184665786,0.0336641936488
92000,-159.968561155,269.30667563,0.0336641936488
93000,-152.843040162,209.106241894,0.0336641936488
94000,-130.711293586,286.736011061,0.0336641936488
95000,-157.69080221,352.162917739,0.0336641936488
96000,-153.386087902,302.206489997,0.0336641936488
97000,-186.979796192,285.631756626,0.0336641936488
98000,-169.775003095,237.076810576,0.0336641936488
99000,-177.208117268,298.422824552,0.0336641936488
100000,-193.563991213,354.531980026,0.0336641936488
